text,true_stars,pred_stars,key_point,business_response,json_valid,latency_ms,raw_response
"Wonderful little cheese shop with a variety of cheeses you've never heard of or heard of but never tasted. You can buy small pieces - orphans, they call them - so that you can taste without spending a bundle. There are gifts for foodies, too: jams, confits, crackers, etc. Really friendly staff and great sandwiches. Wish this had been around during my days at UW-Madison.",5,5,"You can buy small pieces, called 'orphans', so that you can taste without spending a bundle.","We're glad you enjoyed our 'orphan' cheese selection, allowing you to taste a variety of cheeses without breaking the bank. We appreciate your feedback and hope you'll return to explore more of our offerings.",True,4513.72,"{
  ""stars"": 5,
  ""key_point"": ""You can buy small pieces, called 'orphans', so that you can taste without spending a bundle."",
  ""business_response"": ""We're glad you enjoyed our 'orphan' cheese selection, allowing you to taste a variety of cheeses without breaking the bank. We appreciate your feedback and hope you'll return to explore more of our offerings.""
}"
"Right off the bat I have to ask what is up with this Stepford Wives hostess staff?  Ok, rhetorical question time over.\n\nI haven't done an itemized pro/con review in while so here we go...\n\nPros:\nExcellent portions of my surf & turf or lobster & filet\nWell prepared medium rare steak\nLobster was perfect and I am not a lobster fan\nVery good serving staff pair\nWell made drinks...martinis and chocolate cakes\nDark, intimate decor (clean-sporty executive clubhouse like)\n\nCons:\nIntimate but noisy.  (I don't like to have to shout over dinner and I want to hear the specials the first time my server fires off with them)*\nOne cocktail server in the bar/waiting area?  Ridiculous. (I literally batted my eyelashes at a girl I guessed was a cocktail server)\nNeither of our servers suggested ",3,4,"Intimate but noisy atmosphere, with clanking silverware and drawers near the seating area",We appreciate your feedback on the noise level in our dining area. We're sorry that the proximity to our server station detracted from your experience. We'll look into rearranging our layout to minimize noise and ensure a more comfortable atmosphere for all our guests.,True,9113.1,"{
  ""stars"": 4,
  ""key_point"": ""Intimate but noisy atmosphere, with clanking silverware and drawers near the seating area"",
  ""business_response"": ""We appreciate your feedback on the noise level in our dining area. We're sorry that the proximity to our server station detracted from your experience. We'll look into rearranging our layout to minimize noise and ensure a more comfortable atmosphere for all our guests.""
}"
"Stayed here 11/15-11/17 and I wouldn't mind coming back. Paid a little over $300 for two nights, not too shabby, probably because it wasn't Comedy Festival time. The location is great which was very important to my club hoppin, heel wearin self. Like the other Yelpers mentioned, the bed was very soft, as if I were trapped inside a marshmallow. Decent eating options, still didn't get to try the Pho place but tried Kahunaville. The only thing I have to complain about are the surly workers but I don't blame them.",3,4,"The bed was very soft, as if I were trapped inside a marshmallow.",We're glad you enjoyed your stay and found our location convenient for your club-hopping adventures. We'll take your feedback on our beds seriously and work on finding the perfect balance of comfort and support. We'd love to have you back and try our Pho place next time.,True,2865.17,"{
  ""stars"": 4,
  ""key_point"": ""The bed was very soft, as if I were trapped inside a marshmallow."",
  ""business_response"": ""We're glad you enjoyed your stay and found our location convenient for your club-hopping adventures. We'll take your feedback on our beds seriously and work on finding the perfect balance of comfort and support. We'd love to have you back and try our Pho place next time.""
}"
"Went here for an office event about a month ago.  Service was really great, food was pretty good and ambiance was fine for this type of group event. We initially sat at the communal table on the second floor but ended up migrating to the area under the stairs as it allowed us to network. \n\nThe servers were very flexible and kept the drinks flowing. The food was great - simple pub fare but overall well done. Loved the eggplant option, hummus, calamari, wings, and other dishes to share.",3,4,The servers were very flexible and kept the drinks flowing.,"We're glad to hear our servers provided excellent service, keeping your drinks flowing throughout your event. We'll continue to train our staff to be flexible and attentive to our guests' needs.",True,3787.95,"{
  ""stars"": 4,
  ""key_point"": ""The servers were very flexible and kept the drinks flowing."",
  ""business_response"": ""We're glad to hear our servers provided excellent service, keeping your drinks flowing throughout your event. We'll continue to train our staff to be flexible and attentive to our guests' needs.""
}"
"MEAN people.. Our dog is a customer, called at 11:00AM on a Saturday, with our dog howling so loud that you could hear him a block away.  We knew it was his time to put him down.  However, Matthews refused because they were closing at noon.  Can you believe that?  They said to take him to an emergency clinic and we told them we could not afford that.  We had already checked prices weeks before, because we knew it was getting close. We had already been sedating him and giving him pain meds. So,I called again at 11:30 to beg them to take him.  While I was on the phone they mistook me for another customer and said that it was okay, Dr. Pritchett would wait to see their dog, which they were putting down.  Now, that was biased! It was okay for them, but not for us.  Obviously, Dr. Pritchard was",1,1,Matthews refused to take in our dog at 11:00AM on a Saturday because they were closing at noon,We're deeply sorry for the pain and distress caused by our closure timing on that difficult day. We should have made an exception for your pet's urgent needs. We'll review our policies to ensure we can provide more compassionate care in similar situations in the future.,True,6154.7,"{
  ""stars"": 1,
  ""key_point"": ""Matthews refused to take in our dog at 11:00AM on a Saturday because they were closing at noon"",
  ""business_response"": ""We're deeply sorry for the pain and distress caused by our closure timing on that difficult day. We should have made an exception for your pet's urgent needs. We'll review our policies to ensure we can provide more compassionate care in similar situations in the future.""
}"
"Seems like a nice place but there are not many vegan options. Even the Veggie Burger comes with mayo and a non vegan bun.\n\nI had the black bean veggie chili and a salad without cheese.  Both were delicious and the presentation was excellent.  I would rate Eat higher, if there were a few more vegan selections.",3,3,"The Veggie Burger comes with mayo and a non-vegan bun, limiting vegan options.",We appreciate your feedback and apologize for the non-vegan bun on our Veggie Burger. We're happy to offer a vegan bun option upon request. We'll work on expanding our vegan menu to better serve our customers.,True,3776.64,"{
  ""stars"": 3,
  ""key_point"": ""The Veggie Burger comes with mayo and a non-vegan bun, limiting vegan options."",
  ""business_response"": ""We appreciate your feedback and apologize for the non-vegan bun on our Veggie Burger. We're happy to offer a vegan bun option upon request. We'll work on expanding our vegan menu to better serve our customers.""
}"
Love the salad bar here ! The best deal is the manager special available all the time where u can get half sandwich and a side salad(well it's a full salad bar actually) all for about 8 dollars ! Salad bar has some high quality organic veggie and greens and it is better than the over priced 13 dollars salad at capital grill I went. Love it here! \nOne star less because the sandwich is only average. Oh don't forget the free ice-cream.,4,4,The sandwich is only average.,"We're glad you enjoyed our salad bar and manager's special, and we appreciate your feedback on our sandwiches. We'll take this as an opportunity to revisit our sandwich offerings to ensure they meet our high standards. We hope to see you again soon and serve you a better sandwich.",True,4741.7,"{
  ""stars"": 4,
  ""key_point"": ""The sandwich is only average."",
  ""business_response"": ""We're glad you enjoyed our salad bar and manager's special, and we appreciate your feedback on our sandwiches. We'll take this as an opportunity to revisit our sandwich offerings to ensure they meet our high standards. We hope to see you again soon and serve you a better sandwich.""
}"
"Went tonight for a takeout order so we could watch Monday Night Football. Order and paid for extra celery & blue cheese( price went up to $1 each! )... Got the order and took it home. The wife wanted to know where the blue cheese was. There was four celery and ONE blue cheese! I was pissed and called them. I drove 3 miles back, and Chelsey who took the order and answered when I called back, told me I was wrong and she personally put three blue cheese in the bag. \n\nDo not ever tell a customer he is a liar. This is what she did. I am about ready to call the manager. My friends do not go here anymore but I've always defended this restaurant. Tonight makes me want to change my mind.",2,1,"Chelsey told the customer he was wrong about the blue cheese, which was not in the order as agreed","We fell short of our promise to include extra blue cheese in your takeout order. We're truly sorry for the miscommunication with Chelsey, who should have apologized and made it right instead of disputing your claim. We'd love to make it up to you with a complimentary meal on your next visit.",True,4725.26,"{
  ""stars"": 1,
  ""key_point"": ""Chelsey told the customer he was wrong about the blue cheese, which was not in the order as agreed"",
  ""business_response"": ""We fell short of our promise to include extra blue cheese in your takeout order. We're truly sorry for the miscommunication with Chelsey, who should have apologized and made it right instead of disputing your claim. We'd love to make it up to you with a complimentary meal on your next visit.""
}"
"Yes the servers are beautiful.  The food is decent.  Good happy hour specials.  A large Blue Moon for $6.50.  The sliders were good.  They didn't come as I ordered.  The waitress never noticed she didn't bring a side order.  The food overall was ok to good.  The sweet potato fries were the only bad item.  I know, hard to mess up sweet potato fries, but they did.  Overall if you want a fun atmosphere and don't have high expectations, you will enjoy the Tilted Kilt.",4,3,The sliders were good but didn't come as I ordered,"We're sorry to hear our sliders didn't meet your expectations. We'll review our ordering process to ensure accuracy. We'd love to have you back to try our sliders again, on the house this time.",True,4640.2,"{
  ""stars"": 3,
  ""key_point"": ""The sliders were good but didn't come as I ordered"",
  ""business_response"": ""We're sorry to hear our sliders didn't meet your expectations. We'll review our ordering process to ensure accuracy. We'd love to have you back to try our sliders again, on the house this time.""
}"
Apparently asking for a tostada salad without cheese is to much to ask for. I asked for one without any dairy for a lactose intolerant person in the drive through. The top had no cheese but once they digged into the salad it had cheese. This is the second time this happened at this location. I will not go back to this location.,2,1,The drive-through staff incorrectly added cheese to a tostada salad ordered without dairy for a lactose intolerant person.,"We apologize for the mistake with your tostada salad, which was supposed to be dairy-free. We'll retrain our drive-through staff to ensure our lactose intolerant customers receive their orders accurately. We'd love to welcome you back and serve you correctly next time.",True,3719.95,"{
  ""stars"": 1,
  ""key_point"": ""The drive-through staff incorrectly added cheese to a tostada salad ordered without dairy for a lactose intolerant person."",
  ""business_response"": ""We apologize for the mistake with your tostada salad, which was supposed to be dairy-free. We'll retrain our drive-through staff to ensure our lactose intolerant customers receive their orders accurately. We'd love to welcome you back and serve you correctly next time.""
}"
"Came here on a Friday morning around 1030 and was greeted the second I parked my car which was wonderful and great service! Sadly the second I came up to the counter a bigger older guy, I'm assuming manager or a higher role, was completely rude! I asked how much an alignment was and explained I had a coupon that gave me a discount 10% and asked how much it would be with that included. His answer was completely rude an belittling \""well I said 89.99 so 10% of that is your price\"". I wasn't asking for a math lesson just your pricing.\nThankfully he was given a phone call and Benny continued to help me out with a smile. I realized I left my drink in the car and asked if I could get it and was accommodated nicely. \nOver all this shop was clean, mostly friendly besides the older large gentlema",5,4,"The manager, a bigger older guy, was completely rude when explaining the price of an alignment after I mentioned a 10% discount coupon.","We apologize for the manager's behavior and appreciate your feedback. We'll make sure to provide a more welcoming experience for all customers, including those with coupons. We're glad Benny and the rest of the team provided great service and look forward to your next visit.",True,6044.62,"{
  ""stars"": 4,
  ""key_point"": ""The manager, a bigger older guy, was completely rude when explaining the price of an alignment after I mentioned a 10% discount coupon."",
  ""business_response"": ""We apologize for the manager's behavior and appreciate your feedback. We'll make sure to provide a more welcoming experience for all customers, including those with coupons. We're glad Benny and the rest of the team provided great service and look forward to your next visit.""
}"
Good local sub shop.,3,4,Good local sub shop with no specific complaints or compliments mentioned,"We're glad to hear you enjoy our local sub shop! We're always looking for ways to improve, so please let us know if there's anything specific we can do for you in the future.",True,3713.23,"{
  ""stars"": 4,
  ""key_point"": ""Good local sub shop with no specific complaints or compliments mentioned"",
  ""business_response"": ""We're glad to hear you enjoy our local sub shop! We're always looking for ways to improve, so please let us know if there's anything specific we can do for you in the future.""
}"
"Walked in on a Sat. night about 3 weeks ago and headed right to the bar. Sat there for a good 10-15 min. with both bartenders looking at me but not acknowledging me. Finally, one says \""did you want to order something?\"" .... I said \""that was the plan\"" and then he says \""oh, why didn't the hostess give you a menu? I hate it when they do that\"".... Ok, I've walked into a lot of restaurants and headed right to the bar and Never has a hostess chased me down to give me a menu... It was a lame excuse to make up for the fact that I was being ignored. Ordered a glass of wine and the Meat & Cheese board, nothing special.",2,2,"The bartender ignored me for 10-15 minutes before finally acknowledging me, then blamed the hostess for not giving me a menu.","We're sorry to hear that you felt ignored at the bar. Our hostess should have provided you with a menu as soon as you sat down, and our bartender should have checked in with you sooner. We'll work on improving our communication and service to ensure a better experience for all our guests.",True,5040.52,"{
  ""stars"": 2,
  ""key_point"": ""The bartender ignored me for 10-15 minutes before finally acknowledging me, then blamed the hostess for not giving me a menu."",
  ""business_response"": ""We're sorry to hear that you felt ignored at the bar. Our hostess should have provided you with a menu as soon as you sat down, and our bartender should have checked in with you sooner. We'll work on improving our communication and service to ensure a better experience for all our guests.""
}"
"They do have a nice menu with tons of 'chocolaty' desserts, which are all amazing on your tongue, oh god! But I tend to prefer to grab a hot chocolate for take-out instead of drinking it on place: too crowdy for me.\n\nOtherwise, a nice place to discover tons of meals with chocolate in all forms! For the chocolate fans only ;)",3,4,the hot chocolate is too crowdy to drink on-site,We appreciate your feedback and understand that our busy atmosphere may not be ideal for enjoying a hot chocolate on-site. We'd be happy to have you try our take-out option for a more relaxed experience.,True,4830.89,"{
  ""stars"": 4,
  ""key_point"": ""the hot chocolate is too crowdy to drink on-site"",
  ""business_response"": ""We appreciate your feedback and understand that our busy atmosphere may not be ideal for enjoying a hot chocolate on-site. We'd be happy to have you try our take-out option for a more relaxed experience.""
}"
"I was disappointed to see the prior Yelp page removed - why? because it was accurate? This place (when it was at its prior location way back when) used to be cool, when there was a sense of community. They had flyers, local periodicals. Not anymore. And, not only that, they do readings directly in front of the tarot deck cabinet - l literally have to walk around the table to get to the tarot cards - so, I'm minding my own business looking for a deck, and I have to hear someone's personal stuff like. Um...hello? Isn't that a little bit unethical? \""For entertainment value\"" is one thing, but would you YouTube your appointments with your financial adviser or physician for everyone to see? I mean, c'mon...show some *bleep* respect for the people coming in to your store and give them a little ",1,1,"readings are held directly in front of the tarot deck cabinet, making it difficult for customers to browse without hearing personal conversations",We appreciate your feedback and apologize for any discomfort caused by our reading area layout. We will consider relocating our readings to a more private space to ensure a respectful experience for all customers.,True,4945.82,"{
  ""stars"": 1,
  ""key_point"": ""readings are held directly in front of the tarot deck cabinet, making it difficult for customers to browse without hearing personal conversations"",
  ""business_response"": ""We appreciate your feedback and apologize for any discomfort caused by our reading area layout. We will consider relocating our readings to a more private space to ensure a respectful experience for all customers.""
}"
I'm writing this at the bar at BRI. I just finished the stacked enchilada. So very good!! It was pretty spicy but not in an overwhelming way. Super tasty!! \n\nThe other night I had the Spanglish sandwich. That was another huge winner!! \n\nThe beer selection is pretty good too!\n\nYou should check this spot out!,5,5,"The stacked enchilada was very good and not too spicy, with a super tasty flavor.","We're thrilled you enjoyed our stacked enchilada, and we're glad you found the spice level just right. We're proud of our menu offerings, and it sounds like we hit the mark with you. We'd love to have you back for another delicious meal!",True,4227.97,"{
  ""stars"": 5,
  ""key_point"": ""The stacked enchilada was very good and not too spicy, with a super tasty flavor."",
  ""business_response"": ""We're thrilled you enjoyed our stacked enchilada, and we're glad you found the spice level just right. We're proud of our menu offerings, and it sounds like we hit the mark with you. We'd love to have you back for another delicious meal!""
}"
"Spazzing bartender started a shouting match with some friends of mine. If you like the smell of sewage over cigarette smoke, then this place is for you.",1,1,"The bartender started a shouting match with the reviewer's friends, creating an unpleasant atmosphere.",We're sorry to hear that our bartender's behavior fell short of our standards. We take incidents like this seriously and will retrain our staff to ensure a respectful environment for all guests. We'd love the opportunity to serve you better in the future.,True,3721.81,"{
  ""stars"": 1,
  ""key_point"": ""The bartender started a shouting match with the reviewer's friends, creating an unpleasant atmosphere."",
  ""business_response"": ""We're sorry to hear that our bartender's behavior fell short of our standards. We take incidents like this seriously and will retrain our staff to ensure a respectful environment for all guests. We'd love the opportunity to serve you better in the future.""
}"
"Pomo was an excellent choice for us to celebrate our 5 year anniversary! We went on a Saturday night around 5:30 and there was no wait. Literally 5 minutes after we walked in though we would've been waiting. The service was excellent and the owner even brought us a special anniversary treat on the house! The pizza was delicious too. The bruschetta was very different than any others I've had before. Not bad, just different. We probably wouldn't order it again. The ambiance is also very charming. We had a wonderful time!",5,5,"The bruschetta was very different than any others I've had before, and we probably wouldn't order it again","We're glad you enjoyed your anniversary celebration with us! We appreciate your honest feedback about our bruschetta, and we'll take it into consideration for future menu updates. We'd love to have you back and try some of our other dishes!",True,4407.84,"{
  ""stars"": 5,
  ""key_point"": ""The bruschetta was very different than any others I've had before, and we probably wouldn't order it again"",
  ""business_response"": ""We're glad you enjoyed your anniversary celebration with us! We appreciate your honest feedback about our bruschetta, and we'll take it into consideration for future menu updates. We'd love to have you back and try some of our other dishes!""
}"
"Good wine selection but the dude named Paul asked me if I need wine glasses or am I going to drink it out of the bottle.  Hu!  I have wine glasses thank you.  Rudeness tells me why he hates working here unless it's a bad joke, probably but still inappropriate.",2,2,"Server Paul asked if reviewer needed wine glasses, implying they might drink from the bottle",We apologize for the misunderstanding with Server Paul. We strive to provide excellent service and appreciate your feedback. We'd love to have you back to experience our wine selection and service in a more welcoming environment.,True,4457.0,"{
  ""stars"": 2,
  ""key_point"": ""Server Paul asked if reviewer needed wine glasses, implying they might drink from the bottle"",
  ""business_response"": ""We apologize for the misunderstanding with Server Paul. We strive to provide excellent service and appreciate your feedback. We'd love to have you back to experience our wine selection and service in a more welcoming environment.""
}"
"Such a disappointment.  My wife and I are huge Beatles fans.  We have never seen a cirque show before, so we were thrilled to get the chance.  This did not live up to expectation. There were three \""stunts\"" that wowed us, but we were expecting a show of that.  It was much more of a dance performance than a circus performance, and one without a coherent message or story at that.",1,1,The show was more of a dance performance than a circus performance with no coherent message or story.,We're sorry to hear that our Cirque show didn't meet your Beatles-themed expectations. We'll take your feedback into consideration to improve our storytelling and performance balance. We invite you to give us another chance to wow you with our unique blend of circus arts and music.,True,4545.11,"{
  ""stars"": 1,
  ""key_point"": ""The show was more of a dance performance than a circus performance with no coherent message or story."",
  ""business_response"": ""We're sorry to hear that our Cirque show didn't meet your Beatles-themed expectations. We'll take your feedback into consideration to improve our storytelling and performance balance. We invite you to give us another chance to wow you with our unique blend of circus arts and music.""
}"
If I could give Mark Taylor no stars I would. All of their leasing clowns get $11.25 hour.\nGreat pay for what they do! I guess they are told to not let U.S. VETS be approved. My credit score was .3 below acceptable for their $99 security deposit. They wanted a $100 more plus rent would go up $40 per month. The 2 things on the credit report were even listed as identity theft. They didn't care. A women named Amanda said tough no refund for the apartment. Mark Taylor is a true SCUMBAG!,1,1,"The leasing staff allegedly told the reviewer that they wouldn't approve U.S. VETS due to their credit score, despite the score being only 0.3 below the acceptable threshold.",We apologize for the disappointing experience with our leasing process. We take all allegations of discriminatory practices seriously and will investigate this matter further. We invite the reviewer to contact us directly so we can discuss their application and work towards a resolution.,True,4495.07,"{
  ""stars"": 1,
  ""key_point"": ""The leasing staff allegedly told the reviewer that they wouldn't approve U.S. VETS due to their credit score, despite the score being only 0.3 below the acceptable threshold."",
  ""business_response"": ""We apologize for the disappointing experience with our leasing process. We take all allegations of discriminatory practices seriously and will investigate this matter further. We invite the reviewer to contact us directly so we can discuss their application and work towards a resolution.""
}"
"Pretty good happy hour. Not very authentic sushi. I hate people who think the can say they \""LOVE RA\"" but the only thing they get are the California rolls. If you're looking for authentic Japanese sushi- stay away. Fun atmosphere, pretty good service, cheap happy hour, but I've def had better sushi.",2,3,"Not very authentic sushi, particularly the California rolls",We appreciate your feedback on our sushi offerings. We're sorry to hear our California rolls didn't meet your expectations for authenticity. We'd love to have you try our other sushi options and share your thoughts with us.,True,3703.7,"{
  ""stars"": 3,
  ""key_point"": ""Not very authentic sushi, particularly the California rolls"",
  ""business_response"": ""We appreciate your feedback on our sushi offerings. We're sorry to hear our California rolls didn't meet your expectations for authenticity. We'd love to have you try our other sushi options and share your thoughts with us.""
}"
We have been taking our daughter to Dr Gentile since birth. She is now 10 months. We have had a positive experience every time with Dr. Gentile. We only had 1 negative experience  at the Gilbert office with a different doctor at that location. She told me I needed to give my very large baby (9lbs) formula when I was solely breastfeeding. I didn't like that at all especially since I told her that I didn't want to do formula. I decided not to take her advice and see Dr. Gentile instead on our next visit. Dr. Gentile always respects our wishes. \n\nWe are very happy.,4,5,"A doctor at the Gilbert office advised breastfeeding a 9lbs baby to supplement with formula, despite the mother's preference to breastfeed exclusively.",We apologize for the miscommunication at our Gilbert office. We respect our patients' choices and appreciate your trust in Dr. Gentile. We're glad you've had a positive experience with her and look forward to continuing to serve you.,True,4713.52,"{
  ""stars"": 5,
  ""key_point"": ""A doctor at the Gilbert office advised breastfeeding a 9lbs baby to supplement with formula, despite the mother's preference to breastfeed exclusively."",
  ""business_response"": ""We apologize for the miscommunication at our Gilbert office. We respect our patients' choices and appreciate your trust in Dr. Gentile. We're glad you've had a positive experience with her and look forward to continuing to serve you.""
}"
"Very good, but highly overrated.",3,3,Review finds the business highly overrated,We appreciate your honest feedback and are sorry to hear our experience didn't meet your expectations. We'll continue to work on providing the best possible service and value. We'd love the chance to show you what we're capable of on a future visit.,True,3624.78,"{
  ""stars"": 3,
  ""key_point"": ""Review finds the business highly overrated"",
  ""business_response"": ""We appreciate your honest feedback and are sorry to hear our experience didn't meet your expectations. We'll continue to work on providing the best possible service and value. We'd love the chance to show you what we're capable of on a future visit.""
}"
"Great service. Good Pizza. However, the sweat tea needs help.",4,4,the sweat tea needs help,We're sorry to hear our sweet tea didn't meet your expectations. We'll review our tea preparation process to ensure it's up to our usual standards. We'd love to have you try it again on your next visit.,True,3467.14,"{
  ""stars"": 4,
  ""key_point"": ""the sweat tea needs help"",
  ""business_response"": ""We're sorry to hear our sweet tea didn't meet your expectations. We'll review our tea preparation process to ensure it's up to our usual standards. We'd love to have you try it again on your next visit.""
}"
Cute cute place with good food! Surprising since it's on the first floor of an office building but I'm not judging by the cover;)\n\nWe had the cheese fondue as an appetizer which was so so good!!! \nThe Mahi entree I had was a little more rare then I'd like but it was a good new experience. I loved the asian cabbage slaw and the sticky rice was divine. There was sauce on the mahi and on the plate but it was not overwhelming at all. They know what they are doing there! I would TOTALLY go back again!!!,5,4,The Mahi entree was a little more rare than the reviewer would have liked,We appreciate your feedback on the Mahi entree's doneness. We'll make sure to adjust our cooking times to meet our guests' preferences. We're glad you enjoyed the rest of your meal and look forward to serving you again soon.,True,4426.16,"{
  ""stars"": 4,
  ""key_point"": ""The Mahi entree was a little more rare than the reviewer would have liked"",
  ""business_response"": ""We appreciate your feedback on the Mahi entree's doneness. We'll make sure to adjust our cooking times to meet our guests' preferences. We're glad you enjoyed the rest of your meal and look forward to serving you again soon.""
}"
"I'm a comics purist. I want to be able to walk into a store and find my comic in pristine condition on the shelf. I want someone to roam the aisles or stack shelves and if I have questions, I want them to enthusiastic and help me. If I spend a lot of money at the counter, i want to be treated like a regular or someone worthy of respect.\n\nInstead, this is my typical experience. I walk in and I see all of  stores employees standing behind the counter and laughing and talking obnoxiously loud with one another.  I don't see anyone looking at comics. The most activity in the store is at the card table. I usually don't find my comic on the shelf because they failed to order enough comics as usual.  I walk up to the counter and wait 3 minutes until the employees finish their conversation with e",2,1,"Employees were too busy laughing and talking to restock shelves, and failed to order enough comics, making it hard to find specific issues.",We apologize for the disappointing experience at Atomic Comics. We're taking steps to ensure our staff is more focused on restocking shelves and ordering comics to meet customer demand. We appreciate your feedback and invite you to visit us again to see the improvements we're making.,True,8027.46,"{
  ""stars"": 1,
  ""key_point"": ""Employees were too busy laughing and talking to restock shelves, and failed to order enough comics, making it hard to find specific issues."",
  ""business_response"": ""We apologize for the disappointing experience at Atomic Comics. We're taking steps to ensure our staff is more focused on restocking shelves and ordering comics to meet customer demand. We appreciate your feedback and invite you to visit us again to see the improvements we're making.""
}"
